Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,رفض الجندي أن يطلق بندقيته على العدو.,The soldier refused to fire his rifle at the enemy.
,,راس الرمح كان مغموساً في سمْ قاتل.,The tip of the spear was dipped in a deadly poison.
,,لم يهطل المطر هنا خلال الإسبوعين الماضيين.,There has been no rain here for the past two weeks.
,,فكّر فيمَ ستشعر إن حدث ذلك لك.,Think about how you'd feel if that happened to you.
,,توم لا يستطيع أن يقرر في ما لو يشتري سيارة تيوتا أو فورد.,Tom can't decide whether to buy a Toyota or a Ford.
,,لا شك أن توم كان لديه وقت كاف لينجز العمل.,Tom definitely had enough time to get the job done.
,,أنكر توم كونه متورط في القضية,Tom denied that he had been involved in the affair.
,,لقد أنكر توم أنه متورط في القضية,Tom denied that he had been involved in the affair.
,,توم لم يكن يعلم كيفية ركوب الدراجة الهوائية حينها.,Tom didn't know how to ride a bicycle at that time.
,,لايبدو أن توم يتجاوب مع العلاج,Tom doesn't seem to be responding to the treatment.
,,حاول توم أن يحسن من لغته الفرنسية حديثا.,Tom has recently been trying to improve his French.
,,توم هو الوحيد الذي يعرف ما حصل.,Tom is the only one who really knows what happened.
,,ليس توم طالبًا هنا، بل هو أستاذ.,Tom isn't a student here. He's one of the teachers.
,,توم لم يستعيد ذاكرتهُ أبداً بعد الحادث.,Tom never did regain his memory after the accident.
,,فتح توم الباب وسأل فيما إذا كانت ماريا مشغولة.,Tom opened the door and asked Mary if she was busy.
,,جامعة تفت هي جامعة مشهورة في بوسطن.,Tufts University is a very famous school in Boston.
,,زيارة جميع المعالم السياحية حقاً ترهقني كثيراً .,Visiting all the tourist sights really wore me out.
,,غسل الملابس باليد عملية صعبة ومضيعة للوقت.,Washing laundry by hand is hard and time-consuming.
,,إننا مسؤولون عن حمايتك من الآن فصاعداً.,We are responsible for your protection from now on.
,,حمايتك هي مسؤوليتنا من الآن فصاعداً.,We are responsible for your protection from now on.
,,ما هو الجزء الأهم في التعليم الجيد؟,What's the most important part of a good education?
,,كانت تعزف على البيانو عندما دخلتُ إلى الغرفة.,"When I entered the room, she was playing the piano."
,,كان عليك أن لا تسمح لتوم بالذهاب مع ماري إلى بوسطن.,You never should've let Tom go to Boston with Mary.
,,أنتِ هي المرأة الّتي سأحبّها لبقيّة حياتي.,You're the woman I'll love for the rest of my life.
,,رجال و نساء قاتلوا للدفاع عن وطنهم.,Young men and women fought to defend their country.
,,صرصار ليل محتجز يأكل نفس ما يأكله نظيره الحر.,A caged cricket eats just as much as a free cricket.
,,جُدجُد محتجز يأكل نفس ما يأكله نظيره الحر.,A caged cricket eats just as much as a free cricket.
,,الكثير من الناس يخرجون من دار السينما.,A lot of people are coming out of the movie theater.
,,لا تترجم الإنجليزية إلى اليابانية حرفياً.,Don't translate English into Japanese word for word.
,,يعتقد الفرنسيّون أنّه لا شيء مستحيل.,French people don't think of anything as impossible.
,,أسعار البنزين تؤثر علينا جميعاً بطريقة أو بأخرى.,Gasoline prices affect all of us one way or another.
,,هو شخص سيئ للغاية لدرجة أن الجميع يكرهونه.,He is such a bad person that everybody dislikes him.
,,انتظر لحظة، إلى أين تظنّ نفسكَ ذاهبًا؟,"Hey, wait a minute. Where do you think you're going?"
,,انتظري لحظة، إلى أين تظنّين نفسكِ ذاهبةً؟,"Hey, wait a minute. Where do you think you're going?"
,,بالتأكيد لم أتوقع أن أراك هنا في بوسطن.,I certainly didn't expect to see you here in Boston.
,,وصلني بريد إلكتروني الأمس مكتوب بالفرنسية.,I got an email yesterday that was written in French.
,,لم آكل منذ الإفطار، وأنا جائع جدا.,I haven't eaten since breakfast and I'm very hungry.
,,لم آكل مذ أفطرت، وأنا جائع جدا.,I haven't eaten since breakfast and I'm very hungry.
,,لم أجد بعد ما طلبه مني توم.,I still haven't found what Tom asked me to look for.
,,أنا أعتقد أن ذلك بالضبط ما يتوقعه توم منك.,I think that's exactly what Tom is expecting you do.
,,أتساءل ما إذا كانت ستعترف لي بعد العديد من السنوات.,I wonder if she'll recognize me after so many years.
,,أريد من توم أن يخبركَ لماذا فعلَ ذلك.,I'd like for Tom to tell you why he did what he did.
,,أنا أتتطلع لقضاء وقت مع أُسرتي.,I'm looking forward to spending time with my family.
,,أنا أتتطلع لقضاء وقت مع عائلتي.,I'm looking forward to spending time with my family.
,,إن لم تتركنا و شأننا، ساتّصل بالشّرطة.,"If you don't leave us alone, I'm calling the police."
,,انظر بانتباه. سأريك كيف تُفْعَل.,Look carefully. I'm going to show you how it's done.
,,عملت ماري مربّية للأطفال عندما كانت مراهقة.,Mary worked as a babysitter when she was a teenager.
,,إن قطرة واحدة من السم كافية لقتل ١٦۰ شخصًا.,One drop of the poison is enough to kill 160 people.
,,ممارسة اليوغا تجعل جسمك مرنا و سليما.,Practicing yoga makes the body flexible and healthy.
,,خذ مظلة معك في حال أمطرت.,Take an umbrella with you in case it begins to rain.
,,الإنترنت مصدرُ معلوماتٍ لا يقدر بثمن.,The Internet is an invaluable source of information.
,,كان الجاكسونيون يعيشون في بوسطن قبل الانتقال إلى هنا.,The Jacksons lived in Boston before they moved here.
,,أغلبية اللجنة كانت معارضةً للخطة.,The majority of the committee were against the plan.
,,تظنّ الشرطة بأن توم قتل عدة أشخاص.,The police think that Tom has killed several people.
,,شعبية مواقع الإنترنت تعتمد على محتوياتها.,The popularity of a web site depends on its content.
,,شعبية مواقع الإنترنت تعتمد على محتوياتها.,The popularity of websites depends on their content.
,,إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,The three countries were united to make one country.
,,أصبح العالم مكاناً خطراً للسياح.,The world has become a dangerous place for tourists.
,,هناك ما يقارب الثّلاثة آلاف مسجد في إسطنبول.,There are around three thousand mosques in Istanbul.
,,لا سبب يدفع توم لقول شيء كهذا.,There's no reason Tom would say something like that.
,,سأل توم ماري ما إن كانت تخطط لشراء سيارة جديدة.,Tom asked Mary if she was planning to buy a new car.
,,ارتقى توم السلم ليصل إلى سقف المرآب.,Tom climbed up the ladder to the roof of the garage.
,,لم يصدّق توم ماري عندما أخبرته عن حبها له.,Tom didn't believe Mary when she said she loved him.
,,توم لم يكن يعلم كيفية الشكر بالفرنسية.,Tom didn't know how to express his thanks in French.
,,توم حقيقة لا يعيش داخل حدود مدينة بوسطن.,Tom doesn't actually live within Boston city limits.
,,توم غنيّ جدا إلى درجة أن لخدمه خدم.,Tom is so rich that even his servants have servants.
,,يرى توم بأن الطعام الذي تُعده ماري حار جدا.,Tom thinks the food Mary makes is usually too spicy.
,,من غير المحتمل أن يكون توم قادراَ على التعامل مع الوضع,Tom won't likely be able to cope with the situation.
,,دائماً ما اصادف سياح يابانيين في هذه المنطقة .,We often come across Japanese tourists in this area.
,,نحن سوف نسدد هذا القرض بطريقة أو بأخرى.,We'll have to pay back that loan one way or another.
,,أيَّ نوع من المعلومات تجد في الإنترنت؟,What sort of information do you get on the Internet?
,,حين أسمع هذه الأغنية، فإنني أفكر بك، وأفتقدك.,"When I hear this song, I think of you, and miss you."
,,يمكنك تعديل هذا المكتب ليناسب طول أي طفل.,You can adjust this desk to the height of any child.
,,لا تستطيع الحكم على شخص إن لم تعرفه جيدا.,You can't judge a person if you don't know him well.
,,عليك أن تطفئ الأنوار قبل خلودك للنوم.,You should turn off the light before going to sleep.
,,"هلّا أغلقت الباب؟ ""حسنًا"".","Would you mind shutting the door? ""No, not at all."""
,,هل لديكم معرض لمنتجاتكم في المدينة؟,Do you have a showroom for your products in the city?
,,هل لديك أي فكرة عن من يستطيع فعل مِثل هذا الشيء؟,Do you have any idea who would do this kind of thing?
,,هل تريدني حقاً أن أخبر توم بشأنك أنتَ و ماري؟,Do you really want me to tell Tom about you and Mary?
,,لقد خشيَ أن يقضي عيد الميلاد في المستشفى.,He dreaded having to spend Christmas in the hospital.
,,أعاد كتابة القصة فأحالها قصة مختلفة تمامًا.,He rewrote the story into a completely different one.
,,أنا غادرت شانكاهاي العام الماضي ولم أعُد بعد.,I left Shanghai last year and have not yet been back.
,,يجب علي حساب كمية المال الذي سوف أنفقه الاسبوع المقبل.,I must calculate how much money I'll spend next week.
,,أنا اعتدت أن أفكر أنه من مسؤليتي أن أساعد توم.,I used to think it was my responsibility to help Tom.
,,أنا اعتدت أن أفكر أنه من واجبي أن أساعد توم.,I used to think it was my responsibility to help Tom.
,,إذا أردت الحصول على دراجة جديدة، من الفضل لك أن تبدأ بتوفير النقود.,"If you want a new bike, you'd better start saving up."
,,إن كنت مخطئا، فاعترف. إن كنت محقّا، فاصمت.,"If you're wrong, admit it. If you're right, be quiet."
,,أهذه أول مرة تأكل فيها الطعام الياباني؟,Is this the first time for you to have Japanese food?
,,لا يجوز تجريد أحد من ملكه تعسفا.,No one shall be arbitrarily deprived of his property.
,,سنعرف كيف نصلح هذا بطريقة أو بأخرى.,"One way or another, we'll figure out how to fix this."
,,الاخدود العظيم هو مقصد سياحي معروف .,The Grand Canyon is a well-known tourist destination.
,,آخِرُ شخصٍ أخبرتُه فكرتي ظنّنِيْ مجنونًا.,The last person I told my idea to thought I was nuts.
,,عدد سكان الصين أكبر من اليابان.,The population of China is larger than that of Japan.
,,تعداد سكان الصين أكبر من تعداد اليابان.,The population of China is larger than that of Japan.
,,عدد سكان هذه المدينة يتناقص كل عام.,The population of this city is decreasing every year.
,,إنّ الشّاي المتوفّر في مكتبي غير جيّد، إذا فأنا لا أشربه.,"The tea at my office isn't good, so I don't drink it."
,,لم يقرأ توم أي رسالة أرسلتها ماري إليه.,Tom didn't read any of the messages Mary sent to him.
,,تظاهر توم بأنه يجهل ما كان يحدث.,Tom pretended that he didn't know what was happening.
,,يقول توم بأنه ليس هو من كسر النافذة,Tom says that he wasn't the one who broke the window.
,,نمرّ دائمًا بجانب مكتب البريد في طريقنا إلى العمل.,We always walk by the post office on the way to work.
,,لا نملك من المال ما يكفي لشراء كل ما نحتاج.,We don't have enough money to buy everything we need.
,,حاولنا أن نغير رأيه لكننا لم نستطع.,"We tried to get him to change his mind, but couldn't."
,,حاولنا إقناعه بالعدول عن رأيه لكننا فشلنا.,"We tried to get him to change his mind, but couldn't."
,,كلما وجدت شيئًا يعجبني، وجدته غاليا جدا.,"Whenever I find something I like, it's too expensive."
,,أيهما تفضل الأحمر أم الازرق ؟,"Which one do you prefer, the red one or the blue one?"
,,ظهرت عدة حقائق مهمة بعد التحري.,A few important facts emerged after the investigation.
,,حضر المؤتمر مئة و خمسون دبلوماسي.,A hundred and fifty diplomats came to that conference.
,,ألحقت ملاحظة بالمستند باستخدام ملقط ورق.,A note was attached to the document with a paper clip.
,,في البداية واجه صعوبة في التأقلم مع بيته الجديد.,At first he had trouble getting used to his new house.
,,عندما كنتُ في الثانويّة، استيقظتُ السادسةَ كل صباح.,"Back in high school, I got up at 6 a.m. every morning."
,,أوتظنني سأدعك تفعل ذلك؟,Do you really think that I'm going to let you do that?
,,لقد حضر الاجتماع كممثل للشركة.,He attended the meeting as the company representative.
,,هوَ أحضر الطعام لضيفهُ وقدم لهُ المأوىَ.,He brought food to his guest and provided him shelter.
,,لم يستطع التغلب على الرغبة في سيجارةٍ أخرى.,He couldn't overcome the desire for another cigarette.
,,كيف خطرت ببالك فكرة المعرض هذا؟,How did you come up with the idea for this exhibition?
,,كيف تعلم إن كان حساب بريدك الإلكتروني قد اختُرق؟,How do you know if your email account has been hacked?
,,كم هي عدد الساعات المستغرقة للذهاب إلى أوكيناوا بالطائرة؟,How many hours does it take to go to Okinawa by plane?
,,أنا لست متأكّداً أنّني سأكون قادراً على القدوم معك,I am not sure whether I will be able to come with you.
,,لا يمكنني الانتظار للوصول الى المنزل والنوم في سريري.,I can hardly wait to get home and sleep in my own bed.
,,ليس لدي الوقت لشراء ربطة عنق جديدة قبل الوليمة.,I don't have time to buy a new tie before the banquet.
,,لو كان عندي سيارة لذهبت إلى المكتبة.,I would go to the library if I had a car to get there.
,,لم أرى سيارة بهذا القدم بهذه الحالة الجيدة.,I've never seen a car this old in such good condition.
,,سيغضب توم كثيرًا إن عرف أنّي قلتُ لكِ هذا.,"If Tom finds out I told you this, he'll be very angry."
,,سيغضب توم كثيرًا إن عرف أنّي قلتُ لكَ هذا.,"If Tom finds out I told you this, he'll be very angry."
,,لو لم تكن المسألة جدية، لم يكن توم ليتواجد هنا.,"If this problem weren't serious, Tom wouldn't be here."
,,من الضروري أن نحجز مقدمًا.,It is necessary that we make a reservation in advance.
,,لا يبدو الوقت مناسبا للحديث عن ذلك. أليس كذلك؟,"It's not a convenient time to speak about that, is it?"
,,يظهر من شكل السماء أن الثلج سيتساقط.,"Judging from the look of the sky, it is going to snow."
,,لطالما ما قالت جدتي بأن إهدار الطعام إثم وذنب.,My grandmother always said it was a sin to waste food.
,,لم تملك أي مال، لذا لم تستطع الذهاب معي.,"She didn't have any money, so she couldn't go with me."
,,ليست قلقةً بشأن درجات اختبارها البتة.,She is not in the least worried about her test scores.
,,كان كل الموز الذي أتيت به إلي البارحة فاسدًا.,The bananas you brought to me last night were all bad.
,,السرير الذي نمت عليه بالأمس لم يكن مريحاً.,The bed I slept in last night wasn't very comfortable.
,,ألقت الشرطة القبض على الرجل الذي قتل الفتاة.,The police arrested the man who had murdered the girl.
,,يبدو أن رئيس القسم يحب استغلال سلطته.,The section chief seems to like abusing his authority.
,,ليس هناك طريق مختصرة إلى القمة، فقط إلى الهاوية.,"There are no shortcuts to the top, only to the bottom."
,,لا يوجد طرق مختصرة إلى القمة. تلك الطرق تؤدي إلى الهاوية.,"There are no shortcuts to the top, only to the bottom."
,,هناك بعض الأشياء التى من الصعب ترجمتها.,There are some things that are difficult to translate.
,,تعرضوا طريق السياح و طلبو منهم المال.,They approached the tourists and asked them for money.
,,بحثوا بكل السبل محاولين تجنب الحرب.,They explored every avenue in an attempt to avoid war.
,,سوف يكون عندهم أسئلة أكثر كثيرا عننا.,They're going to have a lot more questions than we do.
,,هذا أحد المطاعم الأكثر شعبية في بوستن.,This is one of the most popular restaurants in Boston.
,,لماذا بوستن مقصد سياحي مشهور بهذا القدر .,Why is Boston such a popular destination for tourists?
,,تقول أنك تتعمدُ إخفاء مظهرك الحسن؟,You are saying you intentionally hide your good looks?
,,يمكنك استعارة هذا الكتاب بشرط أن تبقيه نظيفاً.,You may borrow this book as long as you keep it clean.
,,يمكنك استعارة الكتاب بشرط أن تحافظ عليه.,You may borrow this book as long as you keep it clean.
,,كل ما كان يريده توم حقاً كتن مكان للجلوس والراحة.,All Tom really wanted was a place to sit down and rest.
,,على الرغم من أنني لم أكن أحب الرياضيات، كان عليِ دراسة اللوغاريتمات.,"Although I didn't like math, I had to study logarithms."
,,هل تعلم كم عدد السياح الذين ياتون الى بوسطن كل يوم ؟,Do you know how many tourists come to Boston every day?
,,لا شيء طبيعي أكثر من الوقوع في الحب.,Falling in love is the most natural thing in the world.
,,ليس لديه أي فكرة عن مدى أهمية هذا الاجتماع.,He doesn't have any idea how important this meeting is.
,,أشار أن تنفيذ الخطة سيكلف الكثير من المال.,He pointed out that the plan would cost a lot of money.
,,برأيك، كم سيكون مدى خطورة هذه المهمة؟,How dangerous do you think this mission is going to be?
,,أضعت ساعتي فعليّ الآن أن أشتري واحدة أخرى.,"I have lost my watch, so now I have to buy another one."
,,تمكنت من إقناع ابن عمي على قبول خطتي.,I managed to persuade my cousin into accepting my plan.
,,أنا أتتطلع لرؤيتك في قبعتك وردائك.,I'm looking forward to seeing you in your cap and gown.
,,علي مقابلة توم في بوسطن يوم الإثنين القادم عند 2:30.,I'm supposed to meet Tom in Boston next Monday at 2:30.
,,إذا كنت مكانك لفعلت نفس الشيء.,"If I were in your situation, I would do the same thing."
,,"بدلاً من الذهاب إلى أوروبا, أنا قررت الذهاب إلى أمريكا.","Instead of going to Europe, I decided to go to America."
,,ليس من السهل تعلم لغة جديدة بعد سن الخمسين.,It's not that easy to learn a new language after fifty.
,,توم عزف سوناتة ضوء القمر في عرض المدرسة الثانوية,Tom played Moonlight Sonata at his high school recital.
,,يقول توم بأنه على استعداد لعمل أي شيء من أجلي,Tom says he's willing to do just about anything for me.
,,أخبرني توم أنه يقوم بتمارين الضغط بعدد 30 مرة كل صباح,Tom told me that he does thirty push-ups every morning.
,,سنذهب في رحلتنا المدرسية إلى قلعة أوساكا غدًا.,We are going on a school trip to Osaka Castle tomorrow.
,,عندما كنا أطفالا، كل ما حولنا بدا كبيرا.,"When we're children, everything around us looks so big."
,,اندفع حفنة من الناس بطريقهم الى المخرج الخلفي .,A bunch of people thrust their way toward the rear exit.
,,يرغب عدد كبير من الطلاب بدخول الجامعة.,A considerable number of students want to go to college.
,,الكثير من الطلاب حول العالم يدرسون الإنجليزية.,A lot of students around the world are studying English.
,,تكاليف الخدمات المالية آخذة في الارتفاع في كل بلد.,Costs of financial services are rising in every country.
,,إفعل ما يخبرك توم به لتفعله وكل شئ سيكون بخير.,Do what Tom tells you to do and everything will be fine.
,,إفعلي ما يخبركِ توم به لتفعليه وكل شئ سيكون بخير.,Do what Tom tells you to do and everything will be fine.
,,لا تقلق. ألم أقل أن كل شئ سيجري على ما يرام.,Don't worry. Didn't I say that everything would go well?
,,لا تقلق. ألم أقل أن كل شئ سيسيرعلى نحو جيد.,Don't worry. Didn't I say that everything would go well?
,,كل شيء سيكون على ما يرام حالما يصل توم.,Everything's going to be great as soon as Tom gets here.
,,في نظر المزارع، الفواكه أهم من الأزهار.,"For the peasant, fruits are more important than flowers."
,,في مثل هذا الوقت من العام الماضي، كان مسافرًا إلى الفلبين.,He was traveling in the Philippines this time last year.
,,أحب تفكيك الاشياء لمعرفة كيفية عملها.,I like to take things apart to see what makes them tick.
,,أخذت موعداً مع الطبيب عند الرابعة.,I made an appointment to see the doctor at four o'clock.
,,اعتقد انه كان من الخطأ أنك لم تأخذ بنصيحتي.,I think it was a mistake that you didn't take my advice.
,,كنت عطشاناً فأردت أن أشرب شيئاً بارداً.,I was very thirsty and I wanted to drink something cold.
,,أنا أتتطلع لرؤيتكِ في ثوب الزفاف.,I'm looking forward to seeing you in your wedding dress.
,,أنا أتتطلع لأراكِ في فستان الزفاف.,I'm looking forward to seeing you in your wedding dress.
,,متأكّد بأنّ توم سيقدّر كلّ ما فعلته له.,I'm sure Tom appreciates everything you've done for him.
,,"لو كنت أخبرتَك الحقيقة, كنتَ ستُفاجأ.","If I were to tell you the truth, you would be surprised."
,,في كندا لا يمكنك شرب الكحول حتى تبلغ سن العشرين.,"In Canada, you're not allowed to drink until you are 20."
,,في العديد من المطاعم في تركيا، يقدّم الكباب كمقبّل رئيسي.,"In many restaurants in Turkey, kebab is the main entree."
,,سواءٌ عندي انضمامه من عدمه.,It makes no difference to me whether he joins us or not.
,,لا فرق عندي انضم أم لا ينضم.,It makes no difference to me whether he joins us or not.
,,نسيت أن تطفئ المذياع البارحة، أليس كذلك؟,"Last night you forgot to turn off the radio, didn't you?"
,,معظم الناس يعتقدون أن أجهزة الكمبيوتر لن تكون قادرة على التفكير.,Most people think computers will never be able to think.
,,أمي لديها رخصة قيادة و لكنها لا تقود سيارة.,"My mother has a driver's license, but she doesn't drive."
,,الآن وبعد أن تقاعدت، أستطيع السفر كلما شئت.,"Now that I'm retired, I can travel as much as I want to."
,,تم اتهام مدير الشركة بدفع رشاوى.,The company president was indicted for paying kickbacks.
,,كان الصوت الوحيد المسموع هو تكتكة الساعة .,The only sound to be heard was the ticking of the clock.
,,لقد انذهل السائحون بالمشهد الرائع .,The tourists were fascinated with the exquisite scenery.
,,توم أتىَ يوم الإثنين وعاد إلىَ البيت في اليوم التالي.,Tom came on Monday and went back home the following day.
,,وصل توم إلى المحطة متأخرا و لذا فاته القطار.,"Tom got to the station too late, so he missed the train."
,,توم في غرفته يكتب رسالة لجدّته.,"Tom is in his room, writing a letter to his grandmother."
,,نحن نعطي السياح الأجانب امتياز الإعفاء الضريبي.,We give foreign tourists the privilege of tax exemption.
,,علينا أن نوصله إلى المستشفى قبل أن يفوت الأوان.,We have to get him to the hospital before it's too late.
,,عشنا في أوساكا عشر سنوات قبل مجيئنا إلى طوكيو.,We lived in Osaka for ten years before we came to Tokyo.
,,علينا أن نهتمّ بالمحافظة على تراثنا الوطني.,We must all take care to preserve our national heritage.
,,من ارتكب هذه الجريمة حتماً فقد عقله.,Whoever committed this crime was surely out of his mind.
,,تبدو وكأنك فعلت شيئا ما كان عليك فعله.,You look like you've been doing something you shouldn't.
,,وقفت سيارة متعطلة في منتصف الطريق.,A broken-down car was standing in the middle of the road.
,,يشتبه الريفيون عادةً بالغرباء.,Country people are traditionally suspicious of strangers.
,,ينظر أهل الأرياف إلى الغرباء عادةً نظرة شبهة.,Country people are traditionally suspicious of strangers.
,,كل من على الأرض يريد الجنة، ولكن ليس هناك من يريد الموت.,"Everybody wants to go to heaven, but nobody wants to die."
,,عاد إلى وعيه بعد الحادثة بثلاث ساعات.,He regained consciousness three hours after the accident.
,,تأخر عن الموعد بسبب حادث سير.,He was late to the appointment due to a traffic accident.
,,هو ذهب للنوم في تمام الساعة السادسة ومازال نائماً.,He went to sleep at six o'clock and he is still sleeping.
,,طمع الإنسان يهدد حياة كثير من الأنواع الحية.,Human greed is threatening the existence of many species.
,,أخطط لدعوة ضيوف كثيرين إلى حفل الافتتاح.,I plan to invite a lot of guests to the opening ceremony.
,,قررت أن أعمل لحساب شركة في الولايات المتحدة.,I've made up my mind to work for a company in the States.
,,قررت أن أعمل لحساب شركة في أمريكا.,I've made up my mind to work for a company in the States.
,,إن حصل هذا لأي سبب، فماذا ستفعل؟,"If for some reason that should happen, what would you do?"
,,علم اللغويات هو علم يتكلم في اللغات.,Linguistics is a science that tries to describe language.
,,تتصل عليه كل ليلة وتحادثه لساعة على الأقل.,She calls him every night and talks for at least an hour.
,,ألا يجدر بك أن تتجاهل أخطاءه و تسامحه.,Shouldn't you overlook his indiscretions and forgive him?
,,هناك العديد من ربات البيوت اللاتي يشتكين من الأسعار المرتفعة.,There are many housewives who complain about high prices.
,,أنهى توم كتابة التقرير في أقل من ثلاث ساعات.,Tom finished writing the report in less than three hours.
,,انتظر توم ماري وقتا طويلا، لكنها لم تأتِ.,"Tom waited a long time for Mary, but she never showed up."
,,أراد توم استدعاء الشرطة، ولكن ماري لم تسمح له.,"Tom wanted to call the police, but Mary wouldn't let him."
,,توم تم توبيخه بواسطة مديره بسبب تأخره عن العمل.,Tom was scolded by his boss for showing up late for work.
,,نحنُ لسنا الوحيدين الذين يعتقدون أنهُ برئ.,We are not the only ones who believe that he is innocent.
,,لسنا صغارًا جدا إلى درجة عدم فهم ماهية الحب.,We're not so young that we don't understand what love is.
,,سقطت قنبلة كبيرة، وفقد كثيرون حياتهم.,"A big bomb fell, and a great many people lost their lives."
,,يزور عدد كبير من السياح كيوتو في الربيع .,A very large number of tourists visit Kyoto in the spring.
,,أيمكنك مساعدتي في ترجمة هذه الجمل إلى اللغة الصينية؟,Can you help me to translate these sentences into Chinese?
,,أنا مدين لك كثيرًا لكل ما فعلته لأجلي.,I am greatly indebted to you for all you have done for me.
,,أنا اقترحت لتوم إمكانية العمل مع ماري.,I suggested to Tom the possibility that he work with Mary.
,,من الصعب ترجمة القصائد الشعرية إلى لغة أخرى.,It is difficult to translate a poem into another language.
,,من الصعب ترجمة الشعر.,It is difficult to translate a poem into another language.
,,مالي هي واحدة من أفقر بلدان جنوب الصحراء الإفريقية.,Mali is one of the poorest countries in Subsaharan Africa.
,,عاش أبي في ناجويا لأكثر من خمسة عشر عاماً.,My father has lived in Nagoya for more than fifteen years.
,,كُشِفت حديثًا حقائق جديدة فيما يتعلق بالصين القديمة.,New facts about ancient China have recently come to light.
,,ملأ الدخان الغرفة حتى صعُب عليّ التنفس.,The room was so full of smoke that I could hardly breathe.
,,قاموا بتجربة لمعرفة ما اذا كان العقار قد حسن الذاكرة.,They did an experiment to see if the drug improved memory.
,,قاموا بتجربة لمعرفة ما اذا كان الدواء قد حسن الذاكرة.,They did an experiment to see if the drug improved memory.
,,كذب سامي على ماري عندما أخبرها بأنه لا يفهم الفرنسية,Tom lied to Mary when he said he didn't understand French.
,,ماذا تعتقد أفضل طريقة لتسوية هذا النزاع؟,What do you think is the best way to settle this conflict?
,,من الأفضل لك أن تسرع إذا أردت أن تصل إلى المنزل قبل حلول الليل.,You'd better hurry up if you want to get home before dark.
,,ما إن وصل إلى المطار حتى اتصل بمكتبه.,"As soon as he arrived at the airport, he phoned his office."
,,بمجرد وصوله إلى المطار، قام بالإتصال بمكتبه.,"As soon as he arrived at the airport, he phoned his office."
,,الحياة الريفية هي الأكثر هدوءًً مقارنةً بحياة المدينة.,Country life is very peaceful in comparison with city life.
,,لاحظ وجودَ ثقبٍ في سترته، لكنه حاول تجاهله.,"He noticed a hole in his jacket, but he tried to ignore it."
,,اشتريت بعض البيض الطازج الذي أتى من المزرعة للتو.,I bought some fresh eggs which had just come from the farm.
,,أريد أن أقرأ أكبر عدد ممكن من الكتب الإنجليزية هذه السنة.,I want to read as many English books as possible this year.
,,آمل أن يتوقف توم عن ركن سيارته أمام منزلي.,I wish Tom would stop parking his car in front of my house.
,,الكثير من مجتمعات الهنود الحمر بحاجة لأطبّاء و مدرّسين.,Many Native American communities need doctors and teachers.
,,شارك في المظاهرة ما يقارب ألف شخص.,Nearly a thousand people participated in the demonstration.
,,قرابة الألف شاركوا في المظاهرة.,Nearly a thousand people participated in the demonstration.
,,يمكن للإجهاد أن يؤثر تأثيرا سلبيا كبيرا على صحتك.,Stress can have an enormous negative impact on your health.
,,يمكن للتوتر أن يؤثر تأثيرا سلبيا كبيرا على صحتك.,Stress can have an enormous negative impact on your health.
,,هذه المسألة سهلة لدرجة أن أيّ طالب يمكنه حلّها.,This is such an easy problem that any student can solve it.
,,لهؤلاء الذين يريدون تمزيق العالم إلى أشلاء، أقول أننا سنلحق بكم الهزيمة.,To those who would tear the world down: we will defeat you.
,,لقد كان توم يتدرب على عزف البيانو لساعتين أو ثلاث ساعات يوميا,Tom has been practicing the piano two or three hours a day.
,,توم كان قلبه مكسور عندما ماري قالت له انها تركته,Tom was heartbroken when Mary told him she was leaving him.
,,لقد اصطدمت مؤخرة سيارة توم و عانى من اصابة في الرقبة .,Tom's car was rear-ended and he suffered a whiplash injury.
,,نأمل جميعًا أن يأتي وقف إطلاق النار هذا بسلام عالمي.,We all hope that this cease-fire will make for world peace.
,,نحنُ لسنا الوحيدين الذين يعتقدون أنهُ غير مذنب.,We are not the only ones who believe that he is not guilty.
,,علينا أن نأجل القرار النهائي حتى الأسبوع القادم.,We have to put off making a final decision until next week.
,,لقد قمنا من مقاعدنا عندما عزف النشيد الوطني.,We rose from our seats when the national anthem was played.
,,يمكنك القول أن كلّ واحدة من هاتين الكرتين لها نفس وزن الأخرى.,You could say that both of those balls are the same weight.
,,حسب علمي، لم تترجم الرواية إلى اليابانية.,"As far as I know, the novel is not translated into Japanese."
,,حسب ما أعرف، الرواية غير مترجمة إلى اليابانية.,"As far as I know, the novel is not translated into Japanese."
,,متى ما انتهيت من كتابة التقرير سأرسله إليك.,"As soon as I finish writing the report, I'll send it to you."
,,بسبب الاحترار العالمي، قد تغرق المدن تماما.,"Due to global warming, cities could be completely submerged."
,,بقى متسيقظاً طوال الليل متسائلاً لماذا فشلت الصفقة.,He stayed awake all night wondering why the deal went wrong.
,,حاول أن يستوعب أكبر قدر من الثقافة المحلية قدر الإمكان.,He tried to absorb as much of the local culture as possible.
,,سأنهي واجباتي عندما أعود إلى البيت بعد الظهر.,I am going to do my homework when I get home this afternoon.
,,لا خيار أمامي سوى فعل كلّ ما طلبوا منّي فعله.,I have no choice but to do everything they've told me to do.
,,أحب كيف يصبح الهواء عليلا بعد نزول المطر.,I love the way the air is so fresh and clean after it rains.
,,الاكتئاب الحقيقي يكون عندما تتوقف عن حب الاشياء التي تحبها,Real depression is when you stop loving the things you love.
